id,num,name,address,latitude,longitude,stands,maxstands
151,185,185_AVENIDA ALCALDE MANUEL DEL VALLE,AVENIDA ALCALDE MANUEL DEL VALLE - Aprox. C/ Alejandro Sawa,37.405094315694,-5.96886213516576,20,20
152,63,063_CALLE SAN PABLO,CALLE SAN PABLO - Aprox. C/ Bailén,37.3904564818945,-5.99810323075327,20,20
153,239,239_CALLE CIUDAD DE LIRIA,CALLE CIUDAD DE LIRIA - Aprox. Avda de Fernando,37.4086915827457,-5.92771899454867,15,15
154,29,029_CARRETERA DE CARMONA,CARRETERA DE CARMONA - Aprox. Avda de Llanes,37.4024635400447,-5.97014513958976,15,15
155,182,182_CALLE VICTORIA KENT,CALLE VICTORIA KENT - Aprox. Avda Alcalde Manuel del Valle,37.4145965870778,-5.9738811596612,15,15
156,172,172_RONDA TAMARGUILLO,RONDA TAMARGUILLO - Aprox. Alfonso Laso de la Vega,37.3671723988186,-5.97121112295758,20,20
157,156,156_AVENIDA KANSAS CITY,AVENIDA KANSAS CITY - Aprox. C/ Baltasar Gracián,37.3914534110966,-5.97276175509149,20,20
158,161,161_AVENIDA ALCALDE MANUEL DEL VALLE,AVENIDA ALCALDE MANUEL DEL VALLE - Aprox. C/ Baltasar de Alcázar,37.4000005306003,-5.96910313451851,20,20
159,23,023_PARLAMENTO,PARLAMENTO - Aprox. C/ San Juan de Ribera,37.4033375369789,-5.98787920228648,15,15
160,8,008_CALLE AMERICO VESPUCIO,CALLE AMERICO VESPUCIO - Aprox. C/ Gregor Mendel,37.4009693828541,-6.00938173537619,20,20
161,164,164_CALLE LUIS MONTOTO,CALLE LUIS MONTOTO - Aprox. C/ El Greco,37.387649350924,-5.9656552520457,19,19
162,4,004_CALLE LEONARDO DA VINCI,CALLE LEONARDO DA VINCI - Aprox C/ Thomas Alba Edison,37.4101115575738,-6.0057222687774,40,40
163,136,136_CALLE ASUNCIÓN,CALLE ASUNCIÓN - Aprox. C/ Virgen de la Antigua,37.3731194128476,-5.99761021902811,20,20
164,15,015_CALLE DR MARAÑON,CALLE DR MARAÑON - Aprox. C/ San Juan de Ribera,37.4060415717622,-5.98573370001479,15,15
165,104,104_AVENIDA EDUARDO DATO,AVENIDA EDUARDO DATO - Aprox. C/ Fuenteovejuna,37.3841359269244,-5.97967667629653,20,20
166,179,179_RONDA URBANA NORTE,RONDA URBANA NORTE - Aprox. C/ de Rimas,37.4131631773951,-5.98513122163764,20,20
167,166,166_RONDA DEL TAMARGUILLO,RONDA DEL TAMARGUILLO - Aprox. Centro Comercial Los Arcos,37.3885904886972,-5.95924009335759,13,13
168,6,006_CAMINO DE LOS DESCUBRIMIENTOS,CAMINO DE LOS DESCUBRIMIENTOS - Aprox. Calle Isaac Newton,37.406613789811,-6.0029779475816,20,20
169,13,013_CALLE FERIA,CALLE FERIA - Aprox. C/ Resolana,37.403133534759,-5.99191821634103,15,15
170,170,170_PLAZA ANTONIO APARICIO HERRERO,PLAZA ANTONIO APARICIO HERRERO - Aprox. C/ San Juan de Dios,37.378966446737,-5.96892312175533,18,18
171,240,240_AVENIDA ALCALDE LUIS URUÑUELA,AVENIDA ALCALDE LUIS URUÑUELA - Aprox. Cueva de la Pileta,37.402579544489,-5.94043558508602,15,15
172,44,044_RONDA CAPUCHINOS,RONDA CAPUCHINOS - Aprox. C/ Corinto,37.3983389722949,-5.98164002676374,15,15
173,84,084_CALLE JOSÉ MARÍA MORENO GALVÁN,CALLE JOSÉ MARÍA MORENO GALVÁN - Aprox. C/ Juan Antonio Cabestany,37.3873504750048,-5.98306817621172,20,20
174,245,245_CALLE LAS LEANDRAS,Aprox. Avda Los Gavilanes,37.3753988112494,-5.95254946624502,15,15
175,74,074_PLAZA PILATOS,PLAZA PILATOS - Aprox. C/ San Esteban,37.3897714832646,-5.9868971910398,15,15
176,150,150_CALLE SAN JUAN BOSCO,CALLE SAN JUAN BOSCO - Aprox. C/ Arroyo,37.3967485141362,-5.97863416607181,20,20
177,93,093_RONDA DE TRIANA,RONDA DE TRIANA - Aprox. C/ San Vicente de Paul,37.3831234479342,-6.01087627136233,15,15
178,204,204_CALLE DOCTOR LAFFON,CALLE DOCTOR LAFFON - Aprox. C/ Tesalonica,37.3976896918843,-5.96160136486722,15,15
179,78,078_CALLE ALFARERIA,CALLE ALFARERIA - Aprox. Ronda de Triana,37.388571133163,-6.01028237835076,20,20
180,130,130_GLORIETA REPUBLICA DOMINICANA,GLORIETA REPUBLICA DOMINICANA - Aprox. C/ López de Gomara,37.3757454179548,-6.00524772730203,20,20
181,145,145_AVENIDA REINA MERCEDES,AVENIDA REINA MERCEDES - Aprox. C/ Profesor García González,37.3602332288612,-5.9863182340509,20,20
182,31,031_AVENIDA DE MIRAFLORES,AVENIDA DE MIRAFLORES - Aprox. C/ Albaida,37.4005415288516,-5.97978117227726,13,13
183,158,158_AVENIDA CARDENAL BUENO MONREAL,AVENIDA CARDENAL BUENO MONREAL - Aprox. C/ Bogota,37.3688534016955,-5.98161816044223,20,20
184,163,163_CALLE SINAÍ,CALLE SINAÍ - Aprox. C/ Baltazar Gracián,37.3899544898959,-5.97080213468875,14,14
185,120,120_GLORIETA SAN DIEGO,GLORIETA SAN DIEGO - Aprox. C/ Palos de la Frontera,37.3789614413557,-5.98996619559473,15,15
186,210,210_PASEO DE EUROPA,PASEO DE EUROPA - Aprox. Ava de Francia,37.3480613203322,-5.98005814258749,15,15
187,30,030_AVENIDA EDUARDO DATO,AVENIDA EDUARDO DATO - Detrás Estadio Sánchez Pizjuan,37.3826284606424,-5.97085313064008,20,20
188,2,002_GRAN PLAZA,GRAN PLAZA - Aprox. Calle Marquez de Pickman,37.3815780453279,-5.96522396639778,18,18
189,37,037_ALAMEDA DE HÉRCULES,ALAMEDA DE HÉRCULES - Aprox. C/ Vulcano,37.3987857728247,-5.99318901314001,20,20
190,233,233_AVENIDA ALCALDE LUIS URUÑUELA,AVENIDA ALCALDE LUIS URUÑUELA - Aprox. Estación de RENFE,37.4041125561039,-5.93709202497113,15,15
191,236,236_CIUDAD DE CHIVA,CIUDAD DE CHIVA - Aprox. C/ ciudad de Liria,37.4102171143178,-5.92642237405753,15,15
192,243,243_GLORIETA DEL PRIMERO DE MAYO,GLORIETA DEL PRIMERO DE MAYO - Aprox. C/ Carlos Marx,37.38043948117,-5.95348119746285,15,15
193,54,054_PLAZA SAN JUAN DE LA PALMA,PLAZA SAN JUAN DE LA PALMA - Aprox. iglesia,37.3952395035696,-5.99105020875803,15,15
194,175,175_RONDA TAMARGUILLO,RONDA TAMARGUILLO - Plaza Ruperto Chapí,37.377757444875,-5.96087009281382,20,20
195,201,201_CALLE PINO MONTANO,CALLE PINO MONTANO - Aprox. C/ Estafeta,37.4156835936104,-5.96785813916757,20,20
196,107,107_CALLE LUIS MORALES,CALLE LUIS MORALES - Aprox. Nervión Plaza,37.3842594665131,-5.97259113767761,30,30
197,139,139_AVENIDA DIEGO MARTINEZ BARRIO,AVENIDA DIEGO MARTINEZ BARRIO - Aprox. Avda Gal Garcia de la Herranz,37.3750752588637,-5.9758631255784,15,15
198,197,197_CALLE AGRICULTORES,CALLE AGRICULTORES - Aprox. C/ estrella Betelgeuse,37.4234386250651,-5.96640413851815,20,20
199,181,181_RONDA URBANA NORTE,RONDA URBANA NORTE - Aprox. C/ Doctor Fedriani,37.4133515789431,-5.98256818940985,20,20
200,34,034_PLAZA PUMAREJO,PLAZA PUMAREJO - Aprox. Calle San Luis,37.4010275275745,-5.98857820341386,15,15
201,89,089_CALLE ADRIANO,CALLE ADRIANO - Aprox. C/ Antonia Díaz,37.3864814661388,-5.99779022736618,18,18
202,252,252_GASPAR CALDERAS,GASPAR CALDERAS.- Esquina con Carretera Bellasvistas,37.3245820350386,-5.96897212812446,25,25
203,40,040_AVENIDA REINA MERCEDES,AVENIDA REINA MERCEDES - Aprox. Glorieta Alcalde de Parias Merry,37.3563508266917,-5.98645987740392,30,30
204,50,050_CALLE DE HERNÁN CORTÉS,CALLE DE HERNÁN CORTÉS - Aprox. C/ Eslava,37.3975545107455,-5.99669522989534,17,17
205,229,229_AVENIDA AERONAUTICA,AVENIDA AERONAUTICA - Aprox. Avda del Deporte,37.3873544949101,-5.91991895459312,15,15
206,151,151_CALLE URQUIZA,CALLE URQUIZA - Aprox. C/ Venecia,37.3945444669458,-5.97989719435469,20,20
207,116,116_CALLE MANUEL SIUROT,CALLE MANUEL SIUROT - Aprox. Hospital Universitario Virgen del Rocio,37.3614303720606,-5.98160315609194,20,20
208,155,155_AVENIDA KANSAS CITY,AVENIDA KANSAS CITY - Aprox. Avda El Greco,37.392910501714,-5.97073913617197,20,20
209,124,124_CALLE ENRAMADILLA,CALLE ENRAMADILLA - Aprox. C/ Barrau,37.3777304387441,-5.97724415022871,20,20
210,92,092_RONDA DE TRIANA,RONDA DE TRIANA - Aprox. C/ de Manuel Arellano,37.3858384697523,-6.01122037762185,20,20
211,111,111_PZA FARMACÉUTICO MURILLO HERRERA,PZA FARMACÉUTICO MURILLO HERRERA - Aprox. C/ Pajes de Corro,37.3813174443225,-6.00105323584217,20,20
212,189,189_AVENIDA HYTASA,AVENIDA HYTASA - Aprox. Nuestra Señora de los Dolores,37.3700534164291,-5.95949608370488,20,20
213,223,223_CALLE GEMA,CALLE GEMA - Aprox. Avda de las Ciencias,37.4007313595641,-5.92632420198497,15,15
214,121,121_CALLE DOCTOR PEDRO DE CASTRO,CALLE DOCTOR PEDRO DE CASTRO - Aprox. C/ Doc. Gabriel Sánchez,37.3771584347363,-5.98193516635545,15,15
215,213,213_AVENIDA DE ANDALUCIA,AVENIDA DE ANDALUCIA - Aprox. Cochera de TUSSAM,37.3871434869041,-5.94841005455344,20,20
216,25,025_AVENIDA DE LA CRUZ ROJA,AVENIDA DE LA CRUZ ROJA - Aprox. C/ Albaida,37.4031325387044,-5.98110917842479,20,20
217,85,085_PASEO CATALINA RIBERA,PASEO CATALINA RIBERA - Frente a la Diputación Provincial,37.3853514656622,-5.98678518809971,20,20
218,76,076_PLAZA NUEVA,PLAZA NUEVA - Aprox. C/ Jaen,37.3889394767379,-5.99564622125814,30,30
219,105,105_CALLE FRANCISCO MURILLO,CALLE FRANCISCO MURILLO - Aprox. C/ Manuel Siurot,37.3589103623599,-5.98062015118215,19,19
220,114,114_GLORIETA PLUS ULTRA,GLORIETA PLUS ULTRA - Aprox. Estadio Manuel Ruiz de Lopera,37.3563723527257,-5.97926214494525,30,30
221,144,144_AVENIDA DE LA PALMERA,AVENIDA DE LA PALMERA - Aprox. Clinica de Fátima,37.3691263393704,-5.98808039728019,20,20
222,146,146_AVENIDA REINA MERCEDES,AVENIDA REINA MERCEDES - Aprox. C/ Profesor García González,37.3601006264114,-5.9863129748754,20,20
223,215,215_CALLE ZORZAL,CALLE ZORZAL - Aprox. Avenida de Andalucia,37.3866414802585,-5.95398107415094,15,15
224,10,010_CALLE JOSE DIAZ,CALLE JOSE DIAZ - Aprox. Avda Concejal Alberto Jiménez-Becerril,37.4093850256092,-5.99076600871424,20,20
225,71,071_AVENIDA KANSAS CITY,AVENIDA KANSAS CITY - Aprox. Hotel Occidental,37.3900304888462,-5.97449114767069,18,18
226,108,108_AVENIDA EDUARDO DATO,AVENIDA EDUARDO DATO - Aprox. Avda de San Francisco Javier,37.3828525034573,-5.97324949193567,15,15
227,230,230_AVENIDA DE LAS CIENCIAS,AVENIDA DE LAS CIENCIAS - Aprox. Avda de la Republica China,37.403927559446,-5.92813999319726,14,14
228,178,178_CALLE JOSÉ SARAMAGO,CALLE JOSÉ SARAMAGO - Aprox. Avda del Alcalde Juan Fernández,37.3733040762628,-5.97391890132113,20,20
229,75,075_PLAZA SAN FRANCISCO,PLAZA SAN FRANCISCO - Aprox C/ Hernando Colón,37.3879973777001,-5.99358744663815,20,20
230,28,028_CALLE RAFAEL SALGADO,CALLE RAFAEL SALGADO - Aprox. C/ Castillo Alcala de Guadaira,37.3602613692166,-5.97665913806671,18,18
231,95,095_CALLE AMÉRICO VESPUCIO,CALLE AMÉRICO VESPUCIO - Aprox. C/ Juan Bautista Muñoz,37.4121735655798,-6.00633827212039,20,20
232,57,057_PLAZA CRISTO DE BURGOS,PLAZA CRISTO DE BURGOS - Pza de San Pedro,37.3923186167428,-5.98970518709471,15,15
233,225,225_CALLE FLOR DE RETAMA,CALLE FLOR DE RETAMA - Aprox. Centro Deportivo Entreflores,37.3973905402371,-5.91877695628424,15,15
